cleaned_tweet,product,reply,Polarity,Sentiment
claire kkkkkk,Azure,,0.0,Neutral
azure little cat friend wukong,Azure,,-0.1875,Negative
cloud infrastructure service market billion spending market share amzn aws msft azure goog gcp big market estimate synergy research group,Azure,,0.0,Neutral
learn optimize azure app permission scoping check microsofts latest dev blog ultimate guide azuread apppermissions itmanagement,Azure,,0.25,Positive
want bucket hat,Azure,,0.0,Neutral
azure little cat friend wukong,Azure,,-0.1875,Negative
azure little cat friend wukong,Azure,,-0.1875,Negative
rtm version zn_release wont tied big release think maybe azure stack hci thats,Azure,,0.0,Neutral
guidance security professional conduct security assessment azure environment ensure configured securely,Azure,,0.25,Positive
call speaker azure day rom open sessionize ive submitted session,Azure,,0.0,Neutral
everyone week bootcamp week learned azure offering sql database first took course codecademy get familiar sql syntax scacloudgirl scacloudschool scaxdeimos,Azure,,0.3125,Positive
azure attributed next quarter guide service overall guide growth yoy equates roughly run rate service already youre early stage major curve super cycle company grow fast,Azure,,0.08511904761904762,Positive
azure little cat friend wukong,Azure,,-0.1875,Negative
best fictional lesbian gideon nav locked tomb thank everyone voting lesbianvisibilityweek,Azure,,0.5,Positive
microsoft unit economics explains enterprise tech page like amp comment want excel point segment business process office linkedin intelligent cloud azure personal computing window bing xbox number guided eps year,Azure,,0.4,Positive
azure little cat friend wukong,Azure,,-0.1875,Negative
pray azure valkyrie sigrun protect angel sigrun alcyone valkyrie title,Azure,,0.0,Neutral
fucking cutest thing ever,Azure,,-0.6,Negative
azure attack defense playbook activedirectory playbook azure infosec informationsecurity cloudsecurity,Azure,,0.0,Neutral
announcing degree parallelism feedback limited preview techcommunity,Azure,,-0.07142857142857142,Negative
leverage cloud cut file data cost comparison alt techcommunity,Azure,,0.0,Neutral
slice scratch itch brain,Azure,,0.0,Neutral
love contraption,Azure,,0.5,Positive
love contraption,Azure,slice scratch itch brain,0.5,Positive
folk use shortcut pim thought proposed change pim related shortcut folk reached asking pim point home page instead azure role blade point today,Azure,,0.0,Neutral
good thing mac personal use many people use shit like azure team whole ecosystem work,Azure,,0.24,Positive
blog alert learn delete item preservation hold library sharepoint online blog sharepoint learninganddevelopment azure,Azure,,0.0,Neutral
devops thank presenter today jonathan leek field engineer astronomer corno chief technology leader steven ley ceo jim hill chief aws azure cloud architect,Azure,,0.0,Neutral
free content friday read great free aws azure fundamental content checkout right useful please retweet follow future content thread,Azure,,0.36428571428571427,Positive
hale blackbrick rome ampfig ponte azure,Azure,,0.0,Neutral
announcing degree parallelism feedback limited preview,Azure,,-0.07142857142857142,Negative
create azure function powershell visual studio code,Azure,,0.0,Neutral
cloud giant update aws amazon run rate growing yoy last grew azure microsoft billion run rate estimate growing yoy last grew google cloud includes gsuite run rate growing yoy last grew neither,Azure,,0.0,Neutral
amzn may tank earning call aws still leader microsoft azure catching also integration benefit amzn lagging behind,Azure,,0.09999999999999998,Positive
microsoft unit economics explains enterprise tech page like amp comment want excel point segment business process office linkedin intelligent cloud azure personal computing window bing xbox number guided eps year,Azure,,0.4,Positive
global channel management inc looking remote cyber security engineer hamilton county tennessee cloud azure gcp aws cybersecurity engineering cissp see amp apply nowhiring azure,Azure,,-0.05,Negative
emonics llc looking teamcenter migration oakland county michigan cloud azure devops cybersecurity see amp apply cybersec azure,Azure,,0.0,Neutral
