cleaned_tweet,product,reply,Polarity,Sentiment
tip jar feature,Bing,,0.0,Neutral
microsoft added popup edge dev appears use google bard chatbot prompt compare google answer bing instead,Bing,,0.0,Neutral
bing melville tiffany jean,Bing,,0.0,Neutral
popular tool april chat gpt auto gpt agent gpt midjourney google bard microsoft bing eleven lab guy agree,Bing,,0.6,Positive
chandler bing said,Bing,,0.0,Neutral
bing harper amy judson,Bing,,0.0,Neutral
whats next bing image creator creation see fan week,Bing,,0.0,Neutral
bing,Bing,,0.0,Neutral
since pat riley left new york knicks miami heat heat playoff appearance series win final appearance championship knicks playoff appearance series win final appearance championship bing bong,Bing,,0.28939393939393937,Positive
,Bing,,0.0,Neutral
improved bing chat search grounding gpt model prometheus recipe travel query youll get relevant answer direct citation content provider flashy recent update crucial accurate chatbased search experience,Bing,,0.06666666666666668,Positive
bing chilling,Bing,,-0.5,Negative
badda bing,Bing,,0.0,Neutral
bada bing fuhgetaboutit,Bing,,0.0,Neutral
bing crosby greets first patron gate del mar racetrack july crosby founded track serving president fellow actor oliver hardy pat obrien acted officer gary cooper served executive committee,Bing,,0.25,Positive
chandler bing said,Bing,,0.0,Neutral
meritlee meritlee bing aiartcommunity artgallery art aiartwork nftcommunity nftsales nfts,Bing,,0.0,Neutral
chandler bing said,Bing,,0.0,Neutral
chandler bing said,Bing,,0.0,Neutral
chandler bing said,Bing,,0.0,Neutral
brave announced exclusively using index search engine word doesnt rely thirdparty solution like bing anymore read,Bing,,0.8,Positive
one thing sorry spamming find topic interesting chatgpts like one created bing snapchat etc fucking useless plagiarise steal shocking amount data create doesnt even work illegal imo,Bing,,-0.4,Negative
one thing sorry spamming find topic interesting chatgpts like one created bing snapchat etc fucking useless plagiarise steal shocking amount data create doesnt even work illegal imo,Bing,least heavily regulated given much misinformation spread,-0.4,Negative
remains one remarkable moment nft journey far initially believed bing bong error turned tremendous stroke good fortune day changed life life many others,Bing,,0.3972222222222222,Positive
microsoft entices user bing ad visiting google bard edge,Bing,,0.0,Neutral
hey walking bada bing bada boom,Bing,,0.0,Neutral
didnt little bitch friday bing card,Bing,,-0.1875,Negative
bing chilling,Bing,,-0.5,Negative
impossible failed miserably,Bing,,-0.7222222222222222,Negative
microsoft added popup edge dev appears use google bard chatbot prompt compare google answer bing instead,Bing,,0.0,Neutral
