cleaned_tweet,product,reply,Polarity,Sentiment
need vpn vpn privacy security securitycamera securityguard staysafe tech android virtualprivatenetwork tvtime dataprotection hacker hacker internetofthings internetexplorer dataanalytics,InternetExplorer,,0.0,Neutral
used shortcut key internet explorer browser internetexplorer internetexplorershortcutkeys windowspcs shortcutkeys,InternetExplorer,,0.0,Neutral
identified component responsible parsing internetexplorer related policy setting performs copy operation within user controlled location file system,InternetExplorer,,0.1,Positive
identified component responsible parsing internetexplorer related policy setting performs copy operation within user controlled location file system,InternetExplorer,using symlinks possible redirect copy operation write user controlled file arbitrary location within file system many known technique achieve privilege escalation like dll hijacking overwriting service executables,0.1,Positive
vulnerability affect grouppolicyupdates contain policy setting internetexplorer policy setting affected one affected policy setting internet explorer user accelerator setting,InternetExplorer,,0.0,Neutral
vulnerability affect grouppolicyupdates contain policy setting internetexplorer policy setting affected one affected policy setting internet explorer user accelerator setting,InternetExplorer,window group policy update may allow low privileged user account elevate privilege abusing symbolic file system link window group policy used control define working environment user computer within active directory,0.0,Neutral
see austin theory drafted smackdown friday internetexplorer nickymoons smackdown wweraw wwenxt,InternetExplorer,,0.0,Neutral
basic solution target clear button msclear pseudoelement set display property none hide button prevents accidental clearing input field simple yet effective internetexplorer,InternetExplorer,,0.175,Positive
basic solution target clear button msclear pseudoelement set display property none hide button prevents accidental clearing input field simple yet effective internetexplorer,InternetExplorer,intermediate solution customize cs selector target specific input field add class like noclear selectively apply style control input field affected webdesign,0.175,Positive
prithvi shaw like early internetexplorer,InternetExplorer,,0.1,Positive
tell browser use vote omnidefend browser usedbrowser firefox google internetexplorer netscape twitterpoll poll,InternetExplorer,,0.0,Neutral
wtf code unlock internetexplorer,InternetExplorer,,-0.5,Negative
somewhere wild there company still enterprise web application work internet explorer client doesnt want upgrade accustomed funfact programming frontend internetexplorer bing,InternetExplorer,,0.1,Positive
test site internet explorer ease internetexplorer iexplore explorer iexplorer ietesting webtesting browsertesting crossbrowsertesting,InternetExplorer,,0.0,Neutral
mcdonalds website internet explorer mcdonalds internethistory internetexplorer,InternetExplorer,,0.0,Neutral
portable app realtime javascript tool execute javascript code realtime javascript html cs internetexplorer calculator portableapps,InternetExplorer,,0.0,Neutral
mcdonalds website internet explorer mcdonalds internethistory internetexplorer,InternetExplorer,,0.0,Neutral
