cleaned_tweet,product,reply,Polarity,Sentiment
csa hiring technical specialist office sunny pensacola youll provide service naval education training command netc program netc navy dodjobs dogreatthings mission focused fun team,Office365,,0.15,Positive
sidebyside accounting software comparison quickbooks xero star gravity software entrepreneur businessgrowth strategy tech innovation clouderp microsoft powerplatform interface audittrail justsaygo online erp,Office365,,0.0,Neutral
getting started want learn aware getting started looking guidance getting going sign free email course,Office365,,0.325,Positive
microsoft security managing governance compliance feature training course learning,Office365,,0.0,Neutral
get free consultation call credit creditcard creditrepair tax loan bookkeeping finance instagram post business debt studentloan medicaldebt,Office365,,0.4,Positive
hacked cm allowed alter search result take million account well started simple click story bingbang,Office365,,0.0,Neutral
ready take business next level discover business cloud integration sharepoint office service help stay ahead game read latest article learn sharepoint digitaltransformation,Office365,,0.075,Positive
ready take business next level discover business cloud integration sharepoint office service help stay ahead game read latest article learn sharepoint digitaltransformation,Office365,,0.075,Positive
job vacancy project coordinator close read apply nh nhsjobs lancashire preston microsoft digital technicalservices,Office365,,0.0,Neutral
run bob leahy tristate trust conference want talk schedule something bob otrwithepicrps,Office365,,0.0,Neutral
rackspace hiring remote customer service technician rackspace remotework remotejob workfromhome technicalsupport express,Office365,,-0.1,Negative
backup content sky data vault today ensure protection missioncritical content automated fully managed solution rest easy knowing data safe,Office365,,0.4666666666666667,Positive
dont like prospect microsoft popup ad conference product like sharepoint there feedback item available share view issue,Office365,,0.4,Positive
occasionally play xcloud laptop minipc via gamepassultimate mainly used,Office365,,0.08333333333333333,Positive
occasionally play xcloud laptop minipc via gamepassultimate mainly used,Office365,laptop dont play cloud game install directly hard drive like console sure knew,0.08333333333333333,Positive
join beer garden welcome network reception grabbing drink pop across aisle demo latest product suite kaleidoscope book demo supplychain technology wms billing,Office365,,0.65,Positive
would assume per game abk catalog unless offer bundle abk every game like bundle includes office excel powerpoint onetime fee,Office365,,-0.4,Negative
would assume per game abk catalog unless offer bundle abk every game like bundle includes office excel powerpoint onetime fee,Office365,cgps would turn market offer use abk game appservices support business amd generate independently gamepass wouldnt expect sub counted gamepass user count mau game course,-0.4,Negative
tell others follow sharepoint travel japan foodie info tip awesome day wear mask,Office365,,1.0,Positive
exciting news starting monday may foundcares mobile health unit providing health service riviera beach new health center open schedule appointment call click link,Office365,,0.06727272727272726,Positive
