cleaned_tweet,product,reply,Polarity,Sentiment
cuserschadaonedrivedocumentspool opening delayed_retraso apertura piscinaeml catastrophic cabanacappy,OneDrive,,0.0,Neutral
onedrive,OneDrive,,0.0,Neutral
onedrive,OneDrive,cherchais truc plus secure justement que le big tech,0.0,Neutral
hard align whole organization switching individualistic culture using outlookonedrive collaborative culture using team educate people understand tool able focus right process change,OneDrive,,0.17351190476190476,Positive
save screenshots onedrive directly save screenshots onedrive directly,OneDrive,,0.1,Positive
save screenshots onedrive directly save screenshots onedrive directly,OneDrive,,0.1,Positive
found interesting error somehow disconnected get lovely message,OneDrive,,0.5,Positive
love working organization onedrive people still send hefty photo video outlook inconvenient,OneDrive,,-0.04999999999999999,Negative
dropbox best tho doesnt abruptly start using power check change take forever mac onedrive doesnt constantly disappear icon favorite kick like google drive search item dropbox,OneDrive,,0.34375,Positive
onedrive memory,OneDrive,,0.0,Neutral
onedrive memory,OneDrive,make thread like starting today every time one drive send smth,0.0,Neutral
automatically syncs shared drive school dont think onedrive school may wrong accessed via though logistically home would exactly using sharepoint onedrive,OneDrive,,-0.125,Negative
set onedrive citrix virtual apps microsoft doc requires vda shellbridge enabled,OneDrive,,0.0,Neutral
pupil great time pupil digital leader event week using greenscreen amp stopmotionanimation well collaborating huge thanks hosting doink,OneDrive,,0.35000000000000003,Positive
use alert service per month per alert,OneDrive,,0.0,Neutral
share point onedrive,OneDrive,,0.0,Neutral
share point onedrive,OneDrive,automatically syncs shared drive school dont think onedrive school may wrong accessed via though logistically home would exactly using sharepoint onedrive,0.0,Neutral
say people back,OneDrive,,0.0,Neutral
today delta delta archive today mirror delta complete archive,OneDrive,,0.1,Positive
interested microsoftlists content security compliance yes set reminder reading ear eye tuesday may announcementsupdates comingsoon blog,OneDrive,,0.25,Positive
theory yes wasnt saving onedrive like idiot fine everything fine rewriting like autistic meltdown gucci,OneDrive,,-0.04166666666666667,Negative
theory yes wasnt saving onedrive like idiot fine everything fine rewriting like autistic meltdown gucci,OneDrive,love please know proud pushing,-0.04166666666666667,Negative
storage full icloud onedrive even email send video ting coumputer amp iphone space full content little old mostly new content havent posted yet,OneDrive,,0.14977272727272725,Positive
pupil great time pupil digital leader event week using greenscreen amp stopmotionanimation well collaborating huge thanks hosting,OneDrive,,0.35000000000000003,Positive
never late clean organize,OneDrive,,0.25833333333333336,Positive
never late clean organize,OneDrive,say people back,0.25833333333333336,Positive
price insane higher price microsoft family bundle user word excel powerpoint onenote onedrive etc universe evernote give kind value justify price,OneDrive,,-0.05000000000000001,Negative
microsofts viva engage app available download via microsoft office team vivaengage viva publisher onedrive window xbox halo gaming xboxone playstation window gamer sony videogames technology apple,OneDrive,,0.4,Positive
microsofts viva engage app available download via microsoft office team vivaengage viva publisher onedrive window xbox halo gaming xboxone playstation window gamer sony videogames technology apple,OneDrive,,0.4,Positive
moved away window move sht onedrive soon,OneDrive,,0.0,Neutral
microsofts viva engage app available download via microsoft office team vivaengage viva publisher onedrive window xbox halo gaming xboxone playstation window gamer sony videogames technology apple,OneDrive,,0.4,Positive
microsofts viva engage app available download via microsoft office team vivaengage viva publisher onedrive window xbox halo gaming xboxone playstation window gamer sony videogames technology apple,OneDrive,,0.4,Positive
looking onedrive find lot novel ive started writing completely forgotten good ill need continue point plenty novel ahead authorsoftwitter novel goal reading,OneDrive,,0.09999999999999998,Positive
microsofts viva engage app available download via microsoft office team vivaengage viva publisher onedrive window xbox halo gaming xboxone playstation window gamer sony videogames technology apple,OneDrive,,0.4,Positive
microsofts viva engage app available download via microsoft office team vivaengage viva publisher onedrive window xbox halo gaming xboxone playstation window gamer sony videogames technology apple,OneDrive,,0.4,Positive
photo wednesday track meet thanks ferris family,OneDrive,,0.2,Positive
interested microsoftlists content security compliance yes set reminder reading ear eye tuesday may announcementsupdates comingsoon blog,OneDrive,,0.25,Positive
interested microsoftlists content security compliance yes set reminder reading ear eye tuesday may announcementsupdates comingsoon blog,OneDrive,,0.25,Positive
developed year plan improve comprehensive service healthcare plan available,OneDrive,,0.25,Positive
recommended recipe google contact back contact onedrive,OneDrive,,0.0,Neutral
set onedrive citrix virtual apps microsoft doc requires vda shellbridge enabled,OneDrive,,0.0,Neutral
sync egnyte onedrive sync egnyte onedrive,OneDrive,,0.0,Neutral
developed year plan improve comprehensive service healthcare plan available,OneDrive,,0.25,Positive
pupil great time pupil digital leader event week using greenscreen amp stopmotionanimation well collaborating huge thanks hosting,OneDrive,,0.35000000000000003,Positive
brilliant pupil digital leader event today using greenscreen amp stopmotionanimation well collaborating huge thanks hosting amp staff bringing young people,OneDrive,,0.32,Positive
today delta delta archive today mirror delta complete archive,OneDrive,,0.1,Positive
looking forward mark keep posted please,OneDrive,,0.0,Neutral
interested microsoftlists content security compliance yes set reminder reading ear eye tuesday may announcementsupdates comingsoon blog,OneDrive,,0.25,Positive
gigabit broadbands free email service provider given limit gb email inboxes gmail said never delete mail hotmail said free forever limit including onedrive storage time cheaper alternative,OneDrive,,0.4,Positive
choice pick,OneDrive,,0.0,Neutral
interested microsoftlists content security compliance yes set reminder reading ear eye tuesday may announcementsupdates comingsoon blog,OneDrive,,0.25,Positive
interested microsoftlists content security compliance yes set reminder reading ear eye tuesday may announcementsupdates comingsoon blog,OneDrive,use alert service per month per alert,0.25,Positive
interested microsoftlists content security compliance yes set reminder reading ear eye tuesday may announcementsupdates comingsoon blog,OneDrive,looking forward mark keep posted please,0.25,Positive
set onedrive citrix virtual apps microsoft doc requires vda shellbridge enabled,OneDrive,,0.0,Neutral
blast past,OneDrive,,-0.25,Negative
microsofts viva engage app available download via microsoft office team vivaengage viva publisher onedrive window xbox halo gaming xboxone playstation window gamer sony videogames technology apple,OneDrive,,0.4,Positive
late spring cleaning,OneDrive,,-0.3,Negative
late spring cleaning,OneDrive,never late clean organize,-0.3,Negative
new video tab appear microsoft search bing office sharepoint amp stream making finding video across stream onedrive amp sharepoint easier due late april bing read else april,OneDrive,,-0.09621212121212121,Negative
example alternative backup using clientside encrypted arc onedrive placeholder file moved icloud backuped actual file file company bookkeeping verification gone available bookkeeper though,OneDrive,,0.2,Positive
set onedrive citrix virtual apps microsoft doc requires vda shellbridge enabled,OneDrive,,0.0,Neutral
today onedrive memory heir sib chance running treadmill hurt back ended needing surgery first time happened healthcare redux freaked worried teen point poor kid,OneDrive,,-0.037500000000000006,Negative
today delta delta archive today mirror delta complete archive,OneDrive,,0.1,Positive
thats neat list duplicate item noticed tylerat zoojpg,OneDrive,,0.0,Neutral
thats neat list duplicate item noticed tylerat zoojpg,OneDrive,late spring cleaning,0.0,Neutral
today delta delta archive today mirror delta complete archive,OneDrive,,0.1,Positive
accidentally deleted unsaved draft file folder onedrive tried recover checking recycle bin couldnt find anything probably selected delete draft option entire content file deleted recovered,OneDrive,,0.0,Neutral
baby boy basically crawling two second ago graduate third grade,OneDrive,,0.0,Neutral
baby boy basically crawling two second ago graduate third grade,OneDrive,thats neat list duplicate item noticed tylerat zoojpg,0.0,Neutral
there plenty data here paper showing people retaining spike subunit vax month vaccination long covid symptom result sheet kind case report adverse event,OneDrive,,0.27499999999999997,Positive
there plenty data here paper showing people retaining spike subunit vax month vaccination long covid symptom result sheet kind case report adverse event,OneDrive,paper preprint let know published peerreviewed journal independently replicated thanks trying,0.27499999999999997,Positive
there plenty data here paper showing people retaining spike subunit vax month vaccination long covid symptom result sheet kind case report adverse event,OneDrive,correction meant long covidlike symptom long covid symptom,0.27499999999999997,Positive
example alternative backup using clientside encrypted arc onedrive placeholder file moved icloud backuped actual file file company bookkeeping verification gone available bookkeeper though,OneDrive,,0.2,Positive
didnt updating bios stop onedrive syncing work school account bingo card sure,OneDrive,,0.5,Positive
example alternative backup using clientside encrypted arc onedrive placeholder file moved icloud backuped actual file file company bookkeeping verification gone available bookkeeper though,OneDrive,,0.2,Positive
example alternative backup using clientside encrypted arc onedrive placeholder file moved icloud backuped actual file file company bookkeeping verification gone available bookkeeper though,OneDrive,,0.2,Positive
really replacing growth isnt archival going amp better option amp taking job dropbox least preferred doc sharing due security issue google drive onedrive adobe docusign much better,OneDrive,,0.15499999999999997,Positive
set onedrive citrix virtual apps microsoft doc requires vda shellbridge enabled,OneDrive,,0.0,Neutral
today delta delta archive today mirror delta complete archive,OneDrive,,0.1,Positive
today delta delta archive today mirror delta complete archive,OneDrive,,0.1,Positive
whats really going new heaven amp new earth precise detail need help,OneDrive,,0.2181818181818182,Positive
whats really going new heaven amp new earth precise detail need help,OneDrive,,0.2181818181818182,Positive
whats really going new heaven amp new earth precise detail need help,OneDrive,,0.2181818181818182,Positive
whats really going new heaven amp new earth precise detail need help,OneDrive,,0.2181818181818182,Positive
today delta delta archive today mirror delta complete archive,OneDrive,,0.1,Positive
today delta delta archive today mirror delta complete archive,OneDrive,,0.1,Positive
onedrive idk idc glad,OneDrive,,0.5,Positive
onedrive idk idc glad,OneDrive,nova caught,0.5,Positive
onedrive idk idc glad,OneDrive,cleeearly would neverneverneeever tweet something like,0.5,Positive
onedrive idk idc glad,OneDrive,evidence youre sus,0.5,Positive
ask art tutorial got plenty download year send discordonedrive link,OneDrive,,0.0,Neutral
many business school organization adopted cloud storage service like box dropbox google drive microsoft onedrive excellent reason cloud storage provides centralized spot shared data without upfront cost,OneDrive,,0.75,Positive
onedrive microsofts cloud file storing system think like icloud dropbox,OneDrive,,0.0,Neutral
dont understand onedrive sharepoint cloud shit let keep individual file hard drive find,OneDrive,,-0.1638888888888889,Negative
memory today miss,OneDrive,,0.0,Neutral
great read please consider checking forum tip improve experience onedrive wed appreciate knowing help,OneDrive,,0.8,Positive
account email onedrive personal wantneed turned,OneDrive,,0.0,Neutral
basbis great book idea recommendation applenotes process daily doc amp note onedrive folder area project dated meeting past amp planned retrieval outlookcalendar amp todo schedule task process important tool,OneDrive,,0.23750000000000002,Positive
today teaching people share file onedrive lord work,OneDrive,,0.0,Neutral
play xbox tried playing addition love able travel laptop amp gamepass using xbox controller love uploading onedrive xbox phone amp laptop instantly,OneDrive,,0.375,Positive
new video tab appear microsoft search bing office sharepoint amp stream making finding video across stream onedrive amp sharepoint easier due late april bing read else april,OneDrive,,-0.09621212121212121,Negative
ask art tutorial got plenty download year send discordonedrive link,OneDrive,,0.0,Neutral
play xbox tried playing addition love able travel laptop amp gamepass using xbox controller love uploading onedrive xbox phone amp laptop instantly,OneDrive,,0.375,Positive
play xbox tried playing addition love able travel laptop amp gamepass using xbox controller love uploading onedrive xbox phone amp laptop instantly,OneDrive,use interconnectivity constantly home series traveling laptop work easy continue playing use game pas find new game okay anywhere play travellng,0.375,Positive
play xbox tried playing addition love able travel laptop amp gamepass using xbox controller love uploading onedrive xbox phone amp laptop instantly,OneDrive,kind good gaming playing travel use vita switch,0.375,Positive
want disconnect account visible accessible anyone us public computer looked tried numerous thing search nothing working,OneDrive,,0.125,Positive
want disconnect account visible accessible anyone us public computer looked tried numerous thing search nothing working,OneDrive,device processorintelr coretm cpu ghz installed usable device product system operating system processor,0.125,Positive
sync folder onedrive,OneDrive,,0.0,Neutral
hate microsoft onedrive god shit annoying fuck use creativemusician,OneDrive,,-0.55,Negative
𝗠𝗶𝗰𝗿𝗼𝘀𝗼𝗳𝘁 𝗗𝗮𝘆 𝗕𝗮𝗵𝘁 ใชเมลลกคา ใชงาน word excel powerpoint one note outlook onedrive microsoft แอพการเรยน แอพดบอกตอ แอพไอแพด แอพios แอพiosราคาถก แอพเพอการศกษา,OneDrive,,0.0,Neutral
learn configure migrationwiz successful sharepoint onedrive migration watch demo,OneDrive,,0.75,Positive
since dropbox first intruduced onedrive microsoft know furst thing disabled android disable googledrive never saved signle item cloud space apart gaming progress personal data going cloud service,OneDrive,,0.016666666666666663,Positive
since dropbox first intruduced onedrive microsoft know furst thing disabled android disable googledrive never saved signle item cloud space apart gaming progress personal data going cloud service,OneDrive,use upload gaming shit,0.016666666666666663,Positive
beyond external driveflash drive backup clue assume onedrive going going like dropbox well,OneDrive,,0.0,Neutral
stay updated onedrive business read blog subscribe follow odfb,OneDrive,,0.0,Neutral
always forgetting put file onedrive help,OneDrive,,0.0,Neutral
ahh onedrive thing thats trying back thing even dont actually wantneed,OneDrive,,0.0,Neutral
ahh onedrive thing thats trying back thing even dont actually wantneed,OneDrive,like randomly disconnecting fails autosave document youre working point save absolutely reason,0.0,Neutral
onedrive whatever,OneDrive,,0.0,Neutral
favorite part traveling work dsregcmd leave rejoining resyncing onedrive ill spend day mmsmoa workfromhome whygodwhyyyy,OneDrive,,0.0,Neutral
favorite part traveling work dsregcmd leave rejoining resyncing onedrive ill spend day mmsmoa workfromhome whygodwhyyyy,OneDrive,porque,0.0,Neutral
favorite part traveling work dsregcmd leave rejoining resyncing onedrive ill spend day mmsmoa workfromhome whygodwhyyyy,OneDrive,,0.0,Neutral
everything need know onedrive pricing onedrive pricing need know,OneDrive,,0.0,Neutral
gme gme wall street anyone know woman colleague dont think told truth since get weirder weirder dont know,OneDrive,,0.0,Neutral
gme gme wall street anyone know woman colleague dont think told truth since get weirder weirder dont know,OneDrive,sudden find picture like door chair flower lot picture people retiring even couple year ago people acting really weird suspect something illegal suspect,0.0,Neutral
ask art tutorial got plenty download year send discordonedrive link,OneDrive,,0.0,Neutral
everything need know onedrive pricing onedrive pricing need know,OneDrive,,0.0,Neutral
move network file store sharepoint onedrive find adapt work process accommodate change first masteringmicrosoft training session next week thursday may signup,OneDrive,,0.125,Positive
onedrive account contains search box search result based intelligent search search user onedrive check way search content sharepoint,OneDrive,,0.8,Positive
yall sent year ago tell he around block still favorite water bottle great keeping water ice cold even reach summer high,OneDrive,,0.21500000000000002,Positive
set onedrive citrix virtual apps microsoft doc requires vda shellbridge enabled,OneDrive,,0.0,Neutral
learn configure migrationwiz successful sharepoint onedrive migration watch demo,OneDrive,,0.75,Positive
try backup video google drive onedrive save alot space use mine using gdrive work well took forever fill mostly game resource video,OneDrive,,-0.4,Negative
murine pneumonia model give excellent insight develop new antimicrobial therapy yet gap remain translation preclinical data clinic goal fill gap standardized amp validated pneumonia model,OneDrive,,0.5681818181818181,Positive
murine pneumonia model give excellent insight develop new antimicrobial therapy yet gap remain translation preclinical data clinic goal fill gap standardized amp validated pneumonia model,OneDrive,,0.5681818181818181,Positive
murine pneumonia model give excellent insight develop new antimicrobial therapy yet gap remain translation preclinical data clinic goal fill gap standardized amp validated pneumonia model,OneDrive,,0.5681818181818181,Positive
murine pneumonia model give excellent insight develop new antimicrobial therapy yet gap remain translation preclinical data clinic goal fill gap standardized amp validated pneumonia model,OneDrive,,0.5681818181818181,Positive
set onedrive citrix virtual apps microsoft doc requires vda shellbridge enabled,OneDrive,,0.0,Neutral
learn configure migrationwiz successful sharepoint onedrive migration watch demo,OneDrive,,0.75,Positive
set onedrive citrix virtual apps microsoft doc requires vda shellbridge enabled,OneDrive,,0.0,Neutral
bro wtf onedrive shit,OneDrive,,-0.35,Negative
bro wtf onedrive shit,OneDrive,happend let waaaay,-0.35,Negative
bro wtf onedrive shit,OneDrive,onedrive microsofts cloud file storing system think like icloud dropbox,-0.35,Negative
bro wtf onedrive shit,OneDrive,window got built ransomware wtf,-0.35,Negative
bro wtf onedrive shit,OneDrive,trying force mfrs buy virtual storage space shit saying save everything external,-0.35,Negative
bro wtf onedrive shit,OneDrive,shit happened day ago smh went storage thru deleted whole folder,-0.35,Negative
bro wtf onedrive shit,OneDrive,bruh mine keep coming everyday shit telling need room idek,-0.35,Negative
𝗠𝗶𝗰𝗿𝗼𝘀𝗼𝗳𝘁 𝗗𝗮𝘆 𝗕𝗮𝗵𝘁 ใชเมลลกคา ใชงาน word excel powerpoint one note outlook onedrive microsoft แอพการเรยน แอพดบอกตอ แอพไอแพด แอพios แอพiosราคาถก แอพเพอการศกษา,OneDrive,,0.0,Neutral
lamentation let search try way turn lord study drought,OneDrive,,0.0,Neutral
store work file onedrive,OneDrive,,0.0,Neutral
write word synched onedrive,OneDrive,,0.0,Neutral
ask art tutorial got plenty download year send discordonedrive link,OneDrive,,0.0,Neutral
zip whole directory datetime filename store onedrive,OneDrive,,0.2,Positive
moved away window move sht onedrive soon,OneDrive,,0.0,Neutral
filecusersalainonedriveinde fussman racine bouddhismehtml,OneDrive,,0.0,Neutral
treating cloud basement attic help keep file organized,OneDrive,,0.0,Neutral
ask art tutorial got plenty download year send discordonedrive link,OneDrive,,0.0,Neutral
synced game onto one drive like waaaa youre using much space cant delete onedrive itll delete local file,OneDrive,,-0.06666666666666667,Negative
set onedrive citrix virtual apps microsoft doc requires vda shellbridge enabled,OneDrive,,0.0,Neutral
thank followup sure share file via onedrive please notify support team email thread used,OneDrive,,0.5,Positive
really hate onedrive lol like mind business,OneDrive,,0.0,Neutral
shared pic xbox onedrive laptop still cant share saved pic twitter laptop still part whole pulling support shit show,OneDrive,,0.0,Neutral
shared pic xbox onedrive laptop still cant share saved pic twitter laptop still part whole pulling support shit show,OneDrive,yeppp need get screenshot onto laptop grab screen upload using twitter website dragging onto twee basiclly upload picture directly twitter website,0.0,Neutral
dear onedrive youre pissing sort sincerely,OneDrive,,0.5,Positive
way get file one drive without fully deleting new automatically put file onedrive like cant use email lmao,OneDrive,,0.36818181818181817,Positive
way get file one drive without fully deleting new automatically put file onedrive like cant use email lmao,OneDrive,synced game onto one drive like waaaa youre using much space cant delete onedrive itll delete local file,0.36818181818181817,Positive
