cleaned_tweet,product,reply,Polarity,Sentiment
derek floella never mentioned race played toy talked different shaped window simply interested entertaining child talking politics,Windows,,0.25,Positive
two falcon two spacex pad florida weather cooperates launch window open hour apart two mission,Windows,,0.0,Neutral
crazy restart window trouble closing folder window mess seems like would simplest thing,Windows,,-0.325,Negative
rocket hit home covered blood child slept thank god alive window gone covered blood scared hate katsaps people uman woke everyone ukraine feel,Windows,,-0.35000000000000003,Negative
window,Windows,,0.0,Neutral
fedora linux fwd window medium creation tool,Windows,,0.0,Neutral
well make window trash,Windows,,0.0,Neutral
sign link referral code well rewarded sgd worth krispay mile upon first transaction,Windows,,0.275,Positive
two falcon two spacex pad florida weather cooperates launch window open hour apart two mission,Windows,,0.0,Neutral
russia need window fall,Windows,,0.0,Neutral
going today seventy five degree outside get space come join life mar hang inside let bright sun shine window open hang patio enjoy fresh air,Windows,,0.28,Positive
steve love cbc heard week radio new window openyoure pro fabulous solo news correspondent,Windows,,0.34545454545454546,Positive
window final version microsoft confirmed window wont get new feature anymore,Windows,,0.1787878787878788,Positive
glass house window,Windows,,0.0,Neutral
neighbor air force birth child heard noise one night tree front yard called caught red handed say wasnt peeping window top secret clearance required,Windows,,0.033333333333333326,Positive
sure blame window game shouldve delayed excuse bad performance yall bunch money hungry clown,Windows,,-0.16249999999999998,Negative
considering energyefficient window home homehelp guide give rundown,Windows,,0.0,Neutral
lskcsh sapphire laser protection window debris shield fiber laser cutting,Windows,,-0.6,Negative
always fascinating see outsized attention exploitation memory safety get thing announced talk running window without admin measurably positive change defeat large chunk attampck postexploitation still rust get attention,Windows,,0.3805194805194805,Positive
fox insider confirm apparently inebriated judge jeanine gluing giant poster empty window hauled away security,Windows,,-0.016666666666666666,Negative
feel good,Windows,,0.7,Positive
rocket hit home covered blood child slept thank god alive window gone covered blood scared hate katsaps people uman woke everyone ukraine feel,Windows,,-0.35000000000000003,Negative
finally addressing shit getting sick every time update get shit back disabled incompetent team working thing,Windows,,-0.23775510204081632,Negative
two falcon two spacex pad florida weather cooperates launch window open hour apart two mission,Windows,,0.0,Neutral
two falcon two spacex pad florida weather cooperates launch window open hour apart two mission,Windows,,0.0,Neutral
two falcon two spacex pad florida weather cooperates launch window open hour apart two mission,Windows,,0.0,Neutral
dell latitude notebook intel core processor ram ram ssd touchscreen fingerprint backlit window pro naira whatsapp delivery nationwide lagos deborah reddington,Windows,,0.0,Neutral
